Overall_group,Family,Genus,Species,Size_NOW,Size_Smith,Size_Phylacine,P4,M1,M2,m1,m2,m3,m1-m3,Source_P4,Note_P4,Source_M1,Note_M1,Source_M2,Note_M2,Source_m1,Note_m1,Source_m2,Note_m2,Source_m3,Note_m3,Source_m1-m3,Note_m1-m3,Status
Carnivoramorpha,Mephetidae,Conepatus,semistriatus,NA,5.79,1.2,9.3,NA,NA,12.3,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Atilax,mesotes,NA,NA,NA,9.3,NA,NA,8.75,NA,NA,NA,Peigne et al (2005) Naturwissenschaften 92 287-292,Reported value,NA,NA,NA,NA,Peigne et al (2005) Naturwissenschaften 92 287-292,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Cormocyon,copei,NA,4.95,NA,9.35,NA,NA,11.09,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Leopardus,guigna,NA,NA,2.23,9.4,NA,NA,7.3,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Plioviverrops,orbignyi,3,NA,NA,9.44,NA,NA,8.95,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Leptocyon,mollis,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Musteloidea_not_assigned_to_family,Rhodanictis,depereti,4.5,NA,NA,9.5,NA,NA,11,NA,NA,NA,Grohe et al (2010) Naturwissenschaften 97 1003-1015,Reported value,NA,NA,NA,NA,Grohe et al (2010) Naturwissenschaften 97 1003-1015,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Herpestes,naso,NA,NA,3,9.5,NA,NA,9,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Arfia,opisthotoma,NA,6.18,NA,9.5,7.98,11.17,7.55,9.23,10.97,NA,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,NA,NA,Accepted
Carnivoramorpha,Miacidae,Miacis,gracilis,NA,NA,NA,9.52,NA,NA,NA,NA,NA,NA,Tomiya (2013) Palaeontologia Electronica 16 14A,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Leptocyon,leidyi,NA,NA,NA,9.54,NA,NA,10.64,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Cormocyon,haydeni,5,3.95,NA,9.58,NA,NA,10.48,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Herpestes,ichneumon,3.6,NA,5.18,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohen et al (2019) Palaeontologia Africana 53 97-113,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicynodontidae,Amphicticeps,shackelfordi,NA,NA,NA,9.6,NA,NA,9.15,NA,NA,NA,Wang et al (2005) American Museum Novitates 3483 1-57,Midpoint of range,NA,NA,NA,NA,Wang et al (2005) American Museum Novitates 3483 1-57,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Meles,teilhardi,NA,NA,NA,9.65,NA,NA,17,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Midpoint of range,NA,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Phlaocyon,multicuspus,NA,NA,NA,9.7,NA,NA,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Felis,nigripes,NA,NA,1.3,9.7,NA,NA,6.6,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Laphictis,vorax,NA,NA,NA,9.75,NA,NA,11.15,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Metasinopa,napaki,NA,NA,NA,9.8,NA,NA,NA,NA,12,NA,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Enhydrictis,ardea,NA,NA,NA,9.85,NA,NA,12.05,NA,NA,NA,Colembero et al (2012) Geodiversitas 34 665-681,Midpoint of range,NA,NA,NA,NA,Colembero et al (2012) Geodiversitas 34 665-681,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Leptocyon,gregorii,NA,NA,NA,9.85,NA,NA,10.45,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Urocyon,minicephalus,NA,NA,NA,9.86,NA,NA,11.65,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Ichneumia,albicauda,NA,NA,3.5,9.9,NA,NA,NA,NA,NA,NA,Cohen et al (2019) Palaeontologia Africana 53 97-113,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Meles,thorali,16,16,NA,9.9,NA,NA,16.45,NA,NA,NA,Arribas & Garrido (2007) Systematic Palaeontology 6 545-555,Midpoint of range,NA,NA,NA,NA,Arribas & Garrido (2007) Systematic Palaeontology 6 545-555,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Phlaocyon,marslandensis,NA,5.86,NA,9.96,NA,NA,11.2,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Machaeroides,eothen,NA,6.73,NA,10,9.4,NA,8.6,8.7,Not Present,15.9,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,Gazin (1946) Proceedings of the United States National Museum 96 335-347,Reported value,Gazin (1946) Proceedings of the United States National Museum 96 335-347,Reported value,NA,NA,Gazin (1946) Proceedings of the United States National Museum 96 335-347,Reported value,Accepted
Carnivoramorpha,Hyanidae,Protictitherium,punixum,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,Kurten (1978) Notes du Service Géologique de Tunisie 42 177-214,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Kinometaxia,guangpui,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,Wang et al (2004) Zoological Journal of the Linnean Society 142 405-421,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Musteloidea_not_assigned_to_family,Paragale,huerzeleri,NA,NA,NA,10,NA,NA,9.5,NA,NA,NA,Petter (1967) Bulletin de la Société Géologique de France S7-IX 19-23,Reported value,NA,NA,NA,NA,Petter (1967) Bulletin de la Société Géologique de France S7-IX 19-23,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Hyperailurictis,stouti,NA,3.71,NA,10,NA,NA,9,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Martes,flavigula,NA,NA,1.84,10.1,NA,NA,NA,NA,NA,NA,Samuels & Cavin (2013) Journal of Vertebrate Paleontology 33 448-454,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Leptocyon,tejonensis,NA,NA,NA,10.1,NA,NA,11.8,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Hesperocyon,coloradensis,7,4.96,NA,10.1,NA,NA,11.04,NA,NA,NA,Wang (1994) Bulletin of the American Museum of Natural History 221 1-212,Reported mean,NA,NA,NA,NA,Wang (1994) Bulletin of the American Museum of Natural History 221 1-212,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Felis,margarita,NA,NA,2.53,10.1,NA,NA,7.6,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Dipsalidictis,platypus,NA,6.36,NA,10.15,9.05,NA,8.53,9.6,Not Present,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,NA,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Procyon,rexroadensis,NA,12.25,NA,10.16,NA,NA,12.46,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Leptarctus,supremus,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,Lim et al (2001) Journal of Paleontology 75 1043-1046,Reported mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Martes,diluviana,NA,7.65,NA,10.2,NA,NA,12.7,NA,NA,NA,Samuels & Cavin (2013) Journal of Vertebrate Paleontology 33 448-454,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Martes,paleosinensis,NA,NA,NA,10.25,NA,NA,12,NA,NA,NA,Stach (1959) Acta Palaeontologlca Polonica 4 101-118,Midpoint of range,NA,NA,NA,NA,Stach (1959) Acta Palaeontologlca Polonica 4 101-118,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Howellictis,valentini,NA,NA,NA,10.25,NA,NA,10.1,NA,NA,NA,Bonis et al (2009) Neues Jahrbuch für Geologie und Paläontologie 252 33-54,Midpoint of range,NA,NA,NA,NA,Bonis et al (2009) Neues Jahrbuch für Geologie und Paläontologie 252 33-54,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Stenoplesictidae,Stenoplesictis,crocheti,NA,NA,NA,10.25,NA,NA,9.85,NA,NA,NA,Peigne & Bonis (1999) Journal of Vertebrate Paleontology 19 566-575,Reported mean,NA,NA,NA,NA,Peigne & Bonis (1999) Journal of Vertebrate Paleontology 19 566-575,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Protictis,haydenianus,NA,2.52,NA,10.25,NA,NA,7.75,NA,NA,NA,Meehan & Wilson (2002) Journal of Paleontology 76: 1091-1101,Reported value,NA,NA,NA,NA,Meehan & Wilson (2002) Journal of Paleontology 76: 1091-1101,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Vulpes,macrotis,NA,NA,2.05,10.28,NA,NA,11.75,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Ballusia,elmensis,11,NA,NA,10.3,NA,NA,10.35,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Outside_extant_families,Lycophocyon,hutchisoni,NA,NA,NA,10.3,NA,NA,9.9,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Semigenetta,praecurrens,NA,NA,NA,10.3,NA,NA,9.1,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Reported value,NA,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Urocyon,cinereoargenteus,NA,6.09,3.83,10.39,NA,NA,12.35,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Leptocyon,vulpinus,NA,5.27,NA,10.4,NA,NA,11.27,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Enhydrictis,galictoides,NA,NA,NA,10.48,NA,NA,12.91,NA,NA,NA,Lyras et al (2010) Journal of Biogeography 37 1007-1021,Midpoint of range,NA,NA,NA,NA,Lyras et al (2010) Journal of Biogeography 37 1007-1021,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Pannonictis,nestii,NA,NA,NA,10.48,NA,NA,12.05,NA,NA,NA,Lyras et al (2010) Journal of Biogeography 37 1007-1021,Midpoint of range,NA,NA,NA,NA,Lyras et al (2010) Journal of Biogeography 37 1007-1021,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Urocyon,webbi,NA,NA,NA,10.5,NA,NA,12.3,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Arctonasua,gracilis,NA,9.68,NA,10.5,NA,NA,12.15,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Eira,barbara,NA,NA,3.91,10.5,NA,NA,10.9,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Reported value,NA,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Prionailurus,planiceps,NA,NA,6.75,10.5,NA,NA,8.1,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Leptocyon,vafer,6,5.31,NA,10.54,NA,NA,11.75,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Procynodictis,progressus,NA,2.65,NA,10.6,NA,NA,9,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Ballusia,hareni,16,NA,NA,10.7,NA,NA,15.8,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Prionailurus,bengalensis,5,NA,3.3,10.7,NA,NA,8,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Urocyon,galushai,NA,NA,NA,10.8,NA,NA,11.75,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Otocolobus,manul,NA,NA,3.5,10.8,NA,NA,9.3,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Metalopex,macconnelli,NA,NA,NA,10.89,NA,NA,12.37,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Hyaenodon,crucians,NA,9.27,NA,10.9,9.78,14.1,9.6,10.1,14.8,34.4,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Reported value,Gustafson (1986) Bulletin of the Texas Memorial Museum 33 1-66,Reported value,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Reported value,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Reported value,Accepted
Carnivoramorpha,Ailuridae,Parailurus,anglicus,NA,NA,NA,10.95,NA,NA,NA,NA,NA,NA,Sasagawa et al (2003) Journal of Vertebrate Paleontology 23 895-900,Midpoint of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Vulpes,velox,NA,5.12,2.2,10.98,NA,NA,12.42,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Semigenetta,mutata,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,Gaillard (1899) Archives du Muséum d'histoire naturelle de Lyon 7 1-77,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Taxidea,mexicana,NA,NA,NA,11,NA,NA,13.4,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicynodontidae,Amphicticeps,dorog,NA,NA,NA,11,NA,NA,11.15,NA,NA,NA,Wang et al (2005) American Museum Novitates 3483 1-57,Reported value,NA,NA,NA,NA,Wang et al (2005) American Museum Novitates 3483 1-57,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Matthodon,menui,NA,NA,NA,11.02,NA,8.73,10.87,12.01,11.93,34.48,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported mean,NA,NA,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported mean,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported mean,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported mean,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported mean,Accepted
Carnivoramorpha,Mustelidae,Lutraeximia,trinacriae,NA,NA,NA,11.2,NA,NA,13.1,NA,NA,NA,Willemsen (1992) Scripta Geologica 101 1-115,Reported value,NA,NA,NA,NA,Willemsen (1992) Scripta Geologica 101 1-115,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Vulpes,kernensis,NA,NA,NA,11.2,NA,NA,11.8,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Osbornodon,renjiei,NA,6.68,NA,11.24,NA,NA,12.33,NA,NA,NA,Wang (1994) Bulletin of the American Museum of Natural History 221 1-212,Reported mean,NA,NA,NA,NA,Wang (1994) Bulletin of the American Museum of Natural History 221 1-212,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Plioviverrops,faventinus,6,NA,NA,11.25,NA,NA,10.76,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Didymictis,protenus,NA,8.74,NA,11.27,NA,NA,11.3,NA,NA,NA,Polly (1997) Contributions from the Museum of Paleontology University of Michigan 30:1-53,Reported mean,NA,NA,NA,NA,Polly (1997) Contributions from the Museum of Paleontology University of Michigan 30:1-53,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Paracynarctus,sinclairi,NA,9.85,NA,11.3,NA,NA,14.7,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Sardolutra,ichnusae,NA,NA,NA,11.3,NA,NA,12.9,NA,NA,NA,Willemsen (1992) Scripta Geologica 101 1-115,Reported value,NA,NA,NA,NA,Willemsen (1992) Scripta Geologica 101 1-115,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Daphoenus,lambei,NA,13.34,NA,11.3,NA,NA,11.4,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Ursavus,intermedius,67,NA,NA,11.4,NA,NA,15,NA,NA,NA,Zhanxiang et al (2014) Vertebrate PalAsiatica 52 265-302,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Cyrnaonyx,antiqua,20,NA,NA,11.4,NA,NA,14,NA,NA,NA,Willemsen (1992) Scripta Geologica 101 1-115,Midpoint of range,NA,NA,NA,NA,Willemsen (1992) Scripta Geologica 101 1-115,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Lutravus,halli,NA,3.16,NA,11.4,NA,NA,13.9,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Leopardus,vorohuensis,NA,NA,NA,11.4,NA,NA,8.9,NA,NA,NA,Prevosti (2005) Geobios 39 679-694,Reported value,NA,NA,NA,NA,Prevosti (2005) Geobios 39 679-694,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Leptarctus,mummorum,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,Korth & Baskin (2009) Annals of Carnegie Museum 78 29-44,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Musteloidea_not_assigned_to_family,Legionarictis,fortidens,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,Tseng et al (2009) PaleoBios 29 13-23,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Vulpes,rueppellii,NA,NA,2.87,11.5,NA,NA,13.5,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
