Overall_group,Family,Genus,Species,Size_NOW,Size_Smith,Size_Phylacine,P4,M1,M2,m1,m2,m3,m1-m3,Source_P4,Note_P4,Source_M1,Note_M1,Source_M2,Note_M2,Source_m1,Note_m1,Source_m2,Note_m2,Source_m3,Note_m3,Source_m1-m3,Note_m1-m3,Status
Carnivoramorpha,Amphicyonidae,Gustafsonia,cognita,NA,2.65,NA,6.8,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Cynarctoides,lemur,NA,1.95,NA,6.81,NA,NA,7.43,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Martes,laevidens,1.1,NA,NA,6.85,NA,NA,7.15,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Viverravus,politus,NA,1.07,NA,6.87,NA,NA,6.22,NA,NA,NA,Polly (1997) Contributions from the Museum of Paleontology University of Michigan 30:1-53,Reported mean,NA,NA,NA,NA,Polly (1997) Contributions from the Museum of Paleontology University of Michigan 30:1-53,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Leptarctus,oregonensis,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,Korth & Baskin (2009) Annals of Carnegie Museum 78 29-44,Midpoint of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Bassariscus,casei,NA,1.64,NA,6.9,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Prototomus,martis,NA,2.6,NA,6.9,6.55,6.88,6.25,7.08,7.34,NA,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported value,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,NA,NA,Accepted
Carnivoramorpha,Canidae,Phlaocyon,achoros,NA,2.52,NA,6.95,NA,NA,8.5,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Oxetocyon,cuspidatus,3,2.07,NA,6.95,NA,NA,7.63,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicynodontidae,Parictis,personi,NA,NA,NA,7,NA,NA,7.6,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Dawsonicyon,isami,NA,NA,NA,7.03,NA,NA,6.26,NA,NA,NA,Spaulding et al (2010) Paleontology 53 815-832,Reported value,NA,NA,NA,NA,Spaulding et al (2010) Paleontology 53 815-832,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Suricata,major,NA,NA,NA,7.05,NA,NA,6.25,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Midpoint of range,NA,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Uintacyon,rudis,NA,1.22,NA,7.05,NA,NA,5.85,NA,NA,NA,Heinrich et al (2008) Journal of Paleontology 82 154-162,Midpoint of range,NA,NA,NA,NA,Heinrich et al (2008) Journal of Paleontology 82 154-162,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Martes,stirtoni,NA,0.34,NA,7.09,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Cynarctoides,luskensis,NA,2,NA,7.1,NA,NA,7.55,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Bassariscus,astutus,NA,1.9,1.13,7.1,NA,NA,7.45,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Brychotherium,ephalmos,NA,NA,NA,7.12,8.59,9.79,6.51,8.41,9.57,NA,Borths et al (2016) PeerJ 4 e2639,Reported value,Borths et al (2016) PeerJ 4 e2639,Midpoint of range,Borths et al (2016) PeerJ 4 e2639,Midpoint of range,Borths et al (2016) PeerJ 4 e2639,Reported mean,Borths et al (2016) PeerJ 4 e2639,Reported mean,Borths et al (2016) PeerJ 4 e2639,Reported mean,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Arfia,zele,NA,2.24,NA,7.17,6.47,NA,6.54,7.97,8.82,NA,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,NA,NA,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported mean,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Lutra,libyca,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,Stromer (1913) Zeitschrift der deutschen geologischen Gesellschaft 65:350-372,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Herpestes,palaeoserengetensis,NA,NA,NA,7.2,NA,NA,7.5,NA,NA,NA,Peigne et al (2005) Naturwissenschaften 92 287-292,Reported value,NA,NA,NA,NA,Peigne et al (2005) Naturwissenschaften 92 287-292,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Plionictis,ogygia,NA,0.41,NA,7.2,NA,NA,6.8,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Phlaocyon,latidens,NA,2.59,NA,7.24,NA,NA,8.2,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Leptarctus,progressus,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,Simpson (1930) Bulletin of the American Museum of Natural History 59 149-211,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Arctomeles,sotnikovae,NA,NA,NA,7.3,NA,NA,15.6,NA,NA,NA,Tedford & Harrington (2003) Nature 425 388-390,Reported value,NA,NA,NA,NA,Tedford & Harrington (2003) Nature 425 388-390,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mephetidae,Conepatus,leuconotus,NA,0.91,3.5,7.3,NA,NA,10.2,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Herpestes,pulverulentus,NA,NA,0.8,7.3,NA,NA,6.4,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Reported mean,NA,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Musteloidea_not_assigned_to_family,Arikarictis,chapini,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Herpestes,abdelalii,NA,NA,NA,7.42,NA,NA,7.08,NA,NA,NA,Peigne et al (2005) Naturwissenschaften 92 287-292,Reported mean,NA,NA,NA,NA,Peigne et al (2005) Naturwissenschaften 92 287-292,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Miacis,parvivorus,NA,1.78,NA,7.45,NA,NA,7,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
