Auhtor,Year ,Journal ,Paper
"Geraads D, Alemseged Z, Bobe R, Reed D",2010,Journal of Vertebrate Paleontology 30: 981 - 987,"Nyctereutes lockwoodi, n. sp., a new canid (Carnivora: Mammalia) from the middle Pliocene of Dikika, Lower Awash, Ethiopia"
"Geraads D, Alemseged Z, Bobe R, Reed D",2011,Journal of Vertebrate Paleontology 31: 447 - 453,"Enhydriodon dikikae, sp. nov. (Carnivora: Mammalia), a gigantic otter from the Pliocene of Dikika, Lower Awash, Ethiopia"
"Geraads D, Drapeau MSM, Bobe R, Fleagle JG",2015,Journal of Vertebrate Paleontology 35: e943765,"Vulpes mathisoni, sp. nov., a new fox from the Pliocene Mursi Formation of southern Ethiopia and its contribution to the origin of African foxes"
"Geraads D, Güleç E",1997,Journal of Vertebrate Paleontology 17: 370 - 375,"Relationships of Barbourofelis piveteaui (Ozansoy, 1965), a late Miocene nimravid (Carnivora, Mammalia) from central Turkey"
"Geraads D, Peigné S",2017,Journal of Mammalian Evolution 24: 415 - 425,"Re-Appraisal of ‘Felis’ pamiri Ozansoy, 1959 (Carnivora, Felidae) from the Upper Miocene of Turkey: the earliest pantherin cat?"
"Ghaffar A, Akhtar M",2012,Swiss Journal of Palaeontology 131: 275 - 281,"New fossil record of Hyaenictitherium pilgrimi (Carnivora: Hyaenidae) from Dhok Pathan Formation of Hasnot, Pakistan"
"Ghaffar A, Akhtar M, Khan MA, Babar MA",2019,Geologica Acta 17: 1 - 9,"Comments on Percrocuta carnifex (Carnivora, Percrocutidae) based on new fossil material from the Nagri Formation (Middle Siwaliks) of Hasnot, Pakistan"
"Gheerbrant E, Iarochene M, Amaghzaz M, Bouya B",2006,Geological Magazine 143: 475 - 489,Early African hyaenodontid mammals and their bearing on the origin of the Creodonta
"Gheerbrant E, Sudre J, Sen S, Abrial C, Marandat B, Sigé B, Vianey-Liaud M",1998,Palaeovertebrata 27: 155 - 202,Nouvelles données sur les mammifères du Thanétien et de l'Ypresien du Bassin d'Ouarzazate (Maroc) et leur contexte stratigraphique
Gidley JW,1927,Journal of Mammalogy 8: 239 - 242,A true marten from the Madison Valley (Miocene) of Montana
Gingerich PD,1980,Journal of Paleontology 54: 570 - 576,"Tytthaena parrisi, oldest known Oxyaenid (Mammalia, Creodonta) from the Late Paleocene of Western North America"
Gingerich PD,1989,University of Michigan Papers on Paleontology 28: 1 - 97,New earliest Wasatchian mammalian fauna from the Eocene of northwestern Wyoming: Composition and diversity in a rarely sampled high-floodplain assemblage
"Gingerich PD, Deutsch HA",1989,"Contributions from the Museum of Paleontology, University of Michigan 27: 327 -391","Systematics and evolution of early Eocene Hyaenodontidae (Mammalia, Creodonta) in the Clarks Fork Basin, Wyoming"
"Gingerich PD, Winkler DA",1985,"Contributions from the Museum of Paleontology, University of Michigan 27: 87 - 128","Systematics of Paleocene Viverravidae (Mammalia, Carnivora) in the Bighorn Basin and Clark's Fork Basin, Wyoming"
Ginsberg L,2000,"Symbioses, n.s., 3: 35 - 40","Les espèces du genre Amphicyon et un Amphicyonidae (Mammalia, Carnivora) nouveau des faluns miocènes de l’Anjou"
Ginsburg L,1966,Annales de Paléontologie 52: 23 - 64,Les amphicyons des phosphorites de Quercy
Ginsburg L,2002,Annales de Paléontologie 88: 115 - 146,Les carnivores fossiles des sables de l’Orléanais
"Ginsburg L, Morales J",1998,Annales de Paléontologie 84: 71 - 123,"Les Hemicyoninae (Ursidae, Carnivora, Mammalia) et les formes apparentkes du Mioche infkieur et moyen d’Europe occidentale"
"Grohe C, Bonis L, Chaimanee Y, Chavasseau O, Rugbumrung M, Yamee C, Suraprasit K, Gibert C, Surault J, Blondel C, Jaeger JJ",2020,American Museum Novitates 3952: 1 - 57,The late middle Miocene Mae Moh Basin of northern Thailand: the richest Neogene assemblage of Carnivora from Southeast Asia and a paleobiogeographic analysis of Miocene Asian carnivorans
