Auhtor,Year ,Journal ,Paper
Wang X,1994,Bulletin of the American Museum of Natural History 221: 1 - 212,Phylogenetic systematics of the Borophaginae (Carnivora: Canidae)
Wang X,2003,Bulletin of the American Museum of Natural History 279: 163 - 176,New material of Osbornodon from the Early Hemingfordian of Nebraska and Florida
"Wang X, Barnes LG",2008,"Natural History Museum of Los Angeles County, Science Series 41: 255 - 272","Fossil dogs (Carnivora, Canidae) from the Sespe and Vaqueros formations in Southern California, with comments on relationships of Phlaocyon taylori"
"Wang X, Carranza-Castaneda O",2008,Zoological Journal of the Linnean Society 154: 386 - 407,"Earliest hog-nosed skunk, Conepatus (Mephitidae, Carnivora), from the early Pliocene of Guanajuato, Mexico and origin of South American skunks"
"Wang X, Carranza-Castañeda O, Aranda-Gómez JJ",2014,Journal of Systematic Palaeontology 13: 291 - 302,"A transitional skunk, Buisnictis metabatos sp. nov. (Mephitidae, Carnivora), from Baja California Sur and the role of southern refugia in skunk evolution"
"Wang X, Giu Z, Wang B",2004,Zoological Journal of the Linnean Society 142: 405 - 421,A new leptarctine (Carnivora: Mustelidae) from the early Miocene of the northern Tibetan Plateau: implications for the phylogeny and zoogeography of basal mustelids
"Wang X, Hunt RM, Tedford RH, Lander EB",2009,Geodiversitas 31: 753 - 773,"First record of immigrant Phoberogale (Mammalia, Ursidae, Carnivora) from Southern California"
"Wang X, McKenna MC, Dashzeveg D",2005,American Museum Novitates 3483: 1 - 57,"Amphicticeps and Amphicynodon (Arctoidea, Carnivora) from Hsanda Gol Formation, central Mongolia and phylogeny of basal Arctoids with comments on zoogeography"
"Wang X, Qiu Z",2004,Journal of Vertebrate Paleontology 24: 721 -731,"Late Miocene Promephitis (Carnivora, Mephitidae) from China"
"Wang X, Qiu Z, Wang B",2005,Palaeontologia Electronica 8: 6A,"Hyaenodonts and carnivorans from the early Oligocene to early Miocene of Xianshuihe Formation, Lanzhou Basin, Gansu Province, China"
"Wang X, Tedford RH, Taylor BE",1999,Bulletin of the American Museum of Natural History 243: 1 - 391,Phylogenetic systematics of the Borophaginae (Carnivora: Canidae)
"Wang X, Whistler DP, Takeuchi GT",2005,Journal of Vertebrate Paleontology 25: 936 - 949,"A new basal skunk Martinogale (Carnivora, Mephitinae) from Late Miocene Dove Spring Formation, California, and origin of New World mephitines"
"Wang X, Wideman BC, Nichols R, Hanneman DL",2004,Journal of Vertebrate Paleontology 24: 445 - 452,"A new species of Aelurodon (Carnivora, Canidae) from the Barstovian of Montana"
"Wang X, Ye T, Meng J, Wu W, Liu L, Bi S",1998,Vertebrata PalAsiatica 36: 218 - 243,"Carnivore from Middle Miocene of northern Junggar Basin, Xinjiang Autonomous Region, China"
"Wang X, Zhanxiang Q",2003,Bulletin of the American Museum of Natural History 279: 116 - 124,"Notes on Early Oligocene ursids (Carnivora, Mammalia) from Saint Jacques, Nei Mongol, China"
Weithofer A,1888,Beiträge zur Paläontologie und Geologie Österreich-Ungarns und des Orients 6: 225 - 292,Beiträge sur Kenntnis der Fauna von Pikermi bei Athen
Werdelin L,1999,Zoological Journal of the Linnean Society 126: 307 - 317,"Studies of fossil hyaenas: affinities of Lycyaenops rhomboideae Kretzoi fom Pestlörinc, Hungary"
Werdelin L,2012,Estudios Geológicos 67: 217 - 222,"A new genus and species of Felidae (Mammalia) from Rusinga Island, Kenya, with notes on early Felidae of Africa"
Werdelin L,2019,Geodiversitas 41: 267 - 283,"Middle Miocene Carnivora and Hyaenodonta from Fort Ternan, western Kenya"
"Werdelin L, Lewis ME, Haile-Selassie Y",2014,Journal of Mammalian Evolution 21: 331 - 347,"Mid-Pliocene carnivora from the Woranso-Mille area, Afar region, Ethiopia"
"Werdelin L, Lewis ME, Haile-Selassie Y",2015,Papers in Palaeontology 1: 33 - 40,"A critical review of African species of Eucyon (Mammalia; Carnivora; Canidae), with a new species from the Pliocene of the Woranso?Mille Area, Afar Region, Ethiopia"
"Werdelin L, Turner A, Solounias N",1994,Zoological Journal of the Linnean Society 111: 197 - 217,"Studies of fossil hyaenids: the genera Hyaenictis Gaudry and Chasmaporthetes Hay, with a reconsideration of the Hyaenidae of Langebaanweg, South Africa"
Wesselman HB,1984,Book,The Omo micromammals. Systematics and paleoecology of early man sites from Ethiopia. Basel: Karge
Willemsen GF,1992,Scripta Geologica 101: 1 - 115,A revision of the Pliocene and Quaternary Lutrinae from Europe
"Villier B, Pavia M, Rook L",2011,Bollettino della Società Paleontologica Italiana 50: 135 - 143,"New remains of Paralutra garganensis Willemsen, 1983 (Mustelidae, Lutrinae) from the Late Miocene “Terre Rosse” of Gargano (Apulia, Italy)"
Wilson JA,1939,"Contributions from the musuem of Paleontology, University of Michigan 12: 315 - 318",A new species of dog from the Miocene of Colorado
"Viranta S, Atickem A, Werdelin L, Stenseth NC",2017,BMC Zoology 2: 6,Rediscovering a forgotten canid species
Viret J,1929,Mémoires de l’Université de Lyon 47: 1 - 305,Les faunes de mammifères de l’Oligocène supérieur de la Limagne bourbonnaise
Viret J,1939,Travaux du Laboratoire de Géologie de la Faculté des Sciences de Lyon. Ancienne série 37: 7 - 26,Monographie Paléontologique de la Faune deVertebrés des Sables de Montpellier. III. Carnivora Fissipedia
Viret J,1951,Nouvelles archives du Muséum d'histoire naturelle de Lyon 3: 3 - 15,"Catalogue critique de la faune des mammifères miocènes de la Grive Saint-Alban (Isère). Première partie : chiroptères, carnivores, édentés pholidotes"
"Wolsan M, Sotnikova M",2013,Zoological Journal of the Linnean Society 167: 208 - 226,"Systematics, evolution, and biogeography of the Pliocene stem meline badger Ferinestrix (Carnivora: Mustelidae)"
"Yensen O, Seymour KL",2000,Mammalian Species 644: 1 - 6,Oreailurus jacobita
"Yongsheng T, Lei Y",1986,Vertebrata PalAsiatica 24: 210 - 221,Fossil Creodonts and Carnivores (Mammalia) from the Hetaoyuan Eocene of Henan
Yu L,2014,Vertebrata PalAsiatica 52: 467 - 485,"Restudy of Metailurus major from Yushe Basin, Shanxi Province reported by Teilhard de Chardin and Leroy"
Zdansky O,1924,"Palaeontologia Sinica, Series C 2: 1 - 33",Jungtertiäre Carnivoren Chinas
"Zhai R, Ciochon RL, Tong Y, Savage DE, Morlo M, Holroyd PA, Gunnell GF",2003,Acta Palaeontologica Polonica 48: 293 - 300,"An aberrant amphicyonid (Mammalia, Carnivora) from the latest Eocene of the Bose Basin, Guangxi, China"
"Zhanxiang Q, Defa Y, Hang J, Bo S",1986,Vertebrate PalAsiatica 24: 182 - 196,"The large-sized ursid dossils from Shanwang, Shandong."
"Zhanxiang Q, Tao D, Banyue W",2014,Vertebrate PalAsiatica 52: 265 - 302,"A late Miocene Ursavus skull from Guanghe, Gansu, China"
"Wang X, Hunt RM, Tedford RH ",2011,Geodiversitas 31: 753 - 773,"First record of immigrant Phoberogale (Mammalia, Ursidae, Carnivora) from Southern California"
Lange-Badre B,1979,Memoires du Muséum National d’Histoire Naturelle 42: 1 - 249,Les Créodontes (Mammalia) d'Europe occidentale de l'Eocène
"Faurby S, Davis M, Pedersen RØ, Schowanek SD, Antonelli A, Svenning JC",2018,Ecology 99: 2626,PHYLACINE 1.2: The Phylogenetic Atlas of Mammal Macroecology
"Wilson DE,  Mittermeir RA",2009,Book,Handbook of mammals of the world - Volume 1 Carnivores
