Family,Genus,Species,Size ,Source,Note
Felidae,Neofelis,nebulosa,20.5,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Otocolobus,manul,3.5,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Panthera,leo,161.499,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Panthera,onca,100,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Panthera,pardus,54.9997,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Panthera,spelaea,380.189,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Panthera,tigris,162.564,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Panthera,uncia,44.167,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Pardofelis,marmorata,2.854,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Prionailurus,bengalensis,3.3,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Prionailurus,planiceps,6.75,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Prionailurus,rubiginosus,1.384,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Prionailurus,viverrinus,9.14,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Puma,concolor,51.6,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Atilax,paludinosus,3.3,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Bdeogale,crassicauda,1.55,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Bdeogale,jacksoni,2.5,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Bdeogale,nigripes,2.5,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Bdeogale,omnivora,1.75,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Crossarchus,alexandri,1.5,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Crossarchus,ansorgei,0.7,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Crossarchus,obscurus,1.25,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Crossarchus,platycephalus,1,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Cynictis,penicillata,0.836,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Dologale,dybowskii,0.35,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Helogale,hirtula,0.289,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Helogale,parvula,0.3,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,auropunctatus,0.484,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,brachyurus,1.854,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,edwardsii,1.324,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,flavescens,0.75,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,fuscus,2.7,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,ichneumon,5.175,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,javanicus,0.75,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,naso,3,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,ochraceus,0.498,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,pulverulentus,0.797,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,sanguineus,0.55,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,semitorquatus,3.5,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,smithii,1.782,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,urva,1.863,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Herpestes,vitticollis,2.576,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Ichneumia,albicauda,3.5,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Liberiictis,kuhni,2.15,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Mungos,gambianus,1.5,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Mungos,mungo,1.925,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Paracynictis,selousi,1.64,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Rhynchogale,melleri,2.5,Faurby et al (2018) Ecology 99 2626,Reported value
Herpestidae,Suricata,suricatta,0.726,Faurby et al (2018) Ecology 99 2626,Reported value
Hyanidae,Crocuta,crocuta,50,Wilson & Mittermeir (2009) Handbook of mammals of the world - Volume 1 Carnivores,Midpoint of range of reported normal sizes
Hyanidae,Hyaena,hyaena,31.75,Wilson & Mittermeir (2009) Handbook of mammals of the world - Volume 1 Carnivores,Mean of sizes of males and females
Hyanidae,Parahyaena,brunnea,40,Wilson & Mittermeir (2009) Handbook of mammals of the world - Volume 1 Carnivores,Reported average
Hyanidae,Proteles,cristata,10,Wilson & Mittermeir (2009) Handbook of mammals of the world - Volume 1 Carnivores,Midpoint of range of reported normal sizes
Mephetidae,Conepatus,chinga,1.918,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Conepatus,humboldtii,0.328,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Conepatus,leuconotus,3.5,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Conepatus,semistriatus,1.2,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Mephitis,macroura,0.801,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Mephitis,mephitis,2.085,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Mydaus,javanensis,2.5,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Mydaus,marchei,1.414,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Spilogale,angustifrons,0.387,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Spilogale,gracilis,0.522,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Spilogale,putorius,0.341,Faurby et al (2018) Ecology 99 2626,Reported value
Mephetidae,Spilogale,pygmaea,0.235,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Aonyx,capensis,19,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Aonyx,cinerea,1.748,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Aonyx,congicus,23.8,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Arctonyx,albogularis,7.005,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Arctonyx,collaris,6.356,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Arctonyx,hoevenii,7.007,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Eira,barbara,3.91,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Enhydra,lutris,23.5,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Galictis,cuja,1,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Galictis,vittata,3.2,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Gulo,gulo,17.013,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Hydrictis,maculicollis,4,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Ictonyx,libycus,2.063,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Ictonyx,striatus,1.3,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Lontra,canadensis,8.087,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Lontra,felina,30.6,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Lontra,longicaudis,6.555,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Lontra,provocax,7.5,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Lutra,lutra,8.785,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Lutra,sumatrana,5.5,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Lutrogale,perspicillata,9.483,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Lyncodon,patagonicus,0.225,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Martes,americana,1.25,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Martes,flavigula,1.843,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Martes,foina,1.541,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Martes,gwatkinsii,2.043,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Martes,martes,1.3,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Martes,melampus,1,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Martes,pennanti,4,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Martes,zibellina,1.13,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Meles,anakuma,11.5,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Meles,leucurus,6.25,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Meles,meles,13,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mellivora,capensis,8.5,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Melogale,cucphuongensis,1.56,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Melogale,everetti,1.5,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Melogale,moschata,0.805,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Melogale,orientalis,2,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Melogale,personata,1.703,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,africana,0.537,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,altaica,0.171,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,erminea,0.119,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,eversmanii,1.35,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,felipei,0.211,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,frenata,0.147,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,itatsi,0.565,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,kathiah,0.208,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,lutreola,0.44,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,lutreolina,0.707,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,nigripes,0.85,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,nivalis,0.138,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,nudipes,0.5,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,putorius,0.915,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,russelliana,0.143,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,sibirica,0.405,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,strigidorsa,1.5,Faurby et al (2018) Ecology 99 2626,Reported value
